repo,mes,candidatos_vistos,excluidos_bot,excluidos_junk,candidatos_validos,muestreados,incluidos_final
neovim/neovim,2025-09,316,6,0,310,200,200
neovim/neovim,2025-10,310,7,0,303,200,200
neovim/neovim,2025-11,211,2,0,209,200,200
neovim/neovim,2025-12,311,9,0,302,200,200
neovim/neovim,2026-01,348,4,0,344,200,200
neovim/neovim,2026-02,362,6,0,356,200,200
neovim/neovim,2026-03,405,8,0,397,200,200
neovim/neovim,2026-04,436,8,0,428,200,200
neovim/neovim,2026-05,321,12,0,309,200,200
neovim/neovim,2026-06,345,16,0,329,200,200
neovim/neovim,2026-07,163,6,0,157,157,157
sveltejs/svelte,2025-01,114,34,0,80,80,80
sveltejs/svelte,2025-02,73,22,0,51,51,51
sveltejs/svelte,2025-03,88,26,0,62,62,62
sveltejs/svelte,2025-04,73,28,0,45,45,45
sveltejs/svelte,2025-05,94,43,0,51,51,51
sveltejs/svelte,2025-06,71,28,0,43,43,43
sveltejs/svelte,2025-07,132,34,0,98,98,98
sveltejs/svelte,2025-08,48,9,0,39,39,39
sveltejs/svelte,2025-09,60,13,0,47,47,47
sveltejs/svelte,2025-10,97,28,0,69,69,69
sveltejs/svelte,2025-11,63,23,0,40,40,40
sveltejs/svelte,2025-12,42,10,0,32,32,32
sveltejs/svelte,2026-01,96,20,0,76,76,76
sveltejs/svelte,2026-02,129,30,0,99,99,99
sveltejs/svelte,2026-03,82,18,0,64,64,64
sveltejs/svelte,2026-04,49,6,0,43,43,43
sveltejs/svelte,2026-05,83,7,0,76,76,76
sveltejs/svelte,2026-06,24,5,0,19,19,19
sveltejs/svelte,2026-07,12,5,0,7,7,7
