fold,n_test,n_authors_test,rf_acc,rf_precision,rf_recall,rf_f1,lstm_acc,lstm_precision,lstm_recall,lstm_f1
1,3020,90,0.8758278145695364,0.6037735849056604,0.49557522123893805,0.5443499392466585,0.8056291390728477,0.4232081911262799,0.8230088495575221,0.5589782118707739
2,3020,93,0.8675496688741722,0.6712962962962963,0.3059071729957806,0.42028985507246375,0.7900662251655629,0.41304347826086957,0.8016877637130801,0.5451936872309899
3,3020,95,0.8834437086092716,0.5478723404255319,0.27837837837837837,0.36917562724014336,0.83841059602649,0.40809968847352024,0.7081081081081081,0.5177865612648221
4,3019,94,0.8549188473004306,0.6,0.2567849686847599,0.35964912280701755,0.8138456442530639,0.4479297365119197,0.7453027139874739,0.5595611285266457
5,3019,94,0.8668433256045048,0.7219251336898396,0.27835051546391754,0.4017857142857143,0.8194766478966545,0.461734693877551,0.7463917525773196,0.570527974783294
