metodo,proporcion_pct,fix_rate_gap,p_value,jaccard_estabilidad
Percentil 15%,15.002570033410434,0.007966813549428964,0.17581362928503141,
Isolation Forest,15.002570033410434,0.061879515560438136,1.4948499548911027e-10,0.8665073587572596
"GMM (k=2, cov. completa)",45.34181444358777,0.06575969020436273,4.035323994311343e-29,
