,value
authors_eligible_profile,238.0
authors_sufficient_signal,161.0
authors_no_signal,77.0
pct_stable_trait,29.81366459627329
pct_emergent_state,28.57142857142857
pct_mixed,41.61490683229814
autocorr_lag1_median,0.7092376166222223
pct_autocorr_positive_significant,96.218487394958
