method,proportion_pct,fix_rate_gap,p_value,jaccard_stability
Percentile 15%,15.002570033410434,0.0079668135494289,0.1758136292850314,
Isolation Forest,15.002570033410434,0.0618795155604381,1.4948499548911027e-10,0.8665073587572596
"GMM (k=2, full cov.)",45.34181444358777,0.0657596902043627,4.0353239943113436e-29,
