quarter,churn_mean,deletion_ratio_mean,n
2025Q1,123.93318122555411,0.3558330806582525,3068
2025Q2,132.50719785738198,0.3616079394990799,2987
2025Q3,137.6356209150327,0.3443458994157143,3060
2025Q4,131.1327982488143,0.35195015436889227,2741
2026Q1,121.32828828828829,0.33054387903982113,2775
2026Q2,133.1571682991986,0.3151308917197337,2246
2026Q3,159.36297640653356,0.30152698791759397,551
